asin,title,brand,price_inr,mrp_inr,rating,review_count,sponsored,badge,search_query
B0CSK9HMM6,Fiama,Moisturizing,300.0,21.0,4.3,843.0,False,,nivea men body wash
B0DNMGKY6G,BEARDO,Save extra with Cashback,134.0,67.0,4.1,824.0,False,,beardo body wash
B0CSKD33LS,Fiama,"Cleansing,Skin Care",300.0,21.0,4.3,812.0,False,Supersaver,fiama men body wash
B0F1D5D299,BEARDO,Save extra with Cashback,85.0,114.0,3.8,795.0,False,,beardo body wash
B0DVSLW9SP,Cinthol,Up to 5% back with Amazon Pay ICICI card,88.0,44.0,4.3,779.0,False,,old spice body wash
B07DQLR965,Ustraa,Hydrating,,,4.0,772.0,False,,ustraa body wash
B097TSLLZ5,Aramusk,Cleansing,149.0,59.0,4.2,761.0,False,,ustraa body wash
B097TRL9MZ,Aramusk,Cleansing,125.0,50.0,4.2,761.0,False,,the man company body wash
B00EUA3CHO,Gatsby,Revitalizing,549.0,91.0,4.3,753.0,False,,beardo body wash
B07Q15ZH51,NIVEA,Moisturizing,290.0,290.0,4.1,752.0,False,,nivea men body wash
B0C5Y13GZB,Hoop,Hydrating,396.0,132.0,4.5,743.0,False,,old spice body wash
B0CNH1RJQT,Dove Refreshing Extra Fresh with 24-Hour Nourishing Body Wash for Men 3 oz,Nourishing,780.0,886.0,4.6,691.0,False,,dove men care body wash
B08MTY6QN9,Brut,freshening,134.0,26.0,4.0,686.0,False,,bombay shaving company body wash
B08CC8F5VL,BEARDO,Brightening,236.0,118.0,4.2,680.0,False,,the man company body wash
B09RK8JWF1,BEARDO,Moisturizing,398.0,79.0,4.2,679.0,False,,beardo body wash
B0BHTPGYM3,AXE,Moisturizing,107.0,43.0,4.1,670.0,False,,the man company body wash
B0BKJY9TN5,Man Matters,Cleansing,249.0,99.0,4.2,665.0,False,,nivea men body wash
B00GZNCTVY,Dove Men+Care,"Hydrating,Moisturizing",,,4.0,651.0,False,,dove men care body wash
B0B3DB9TQN,BEARDO,Skin Care,330.0,165.0,4.1,643.0,False,,ustraa body wash
B0DWK5FFF7,BEARDO,Save extra with Cashback,549.0,91.0,4.1,643.0,False,,beardo body wash
B0D7YTM87T,Mamaearth,Moisturizing,209.0,76.0,4.2,637.0,False,,bombay shaving company body wash
B0DHHCVYMQ,Mamaearth,Keeping Skin Hydreated,214.0,77.0,4.2,637.0,False,,ustraa body wash
B0DM237LQ3,ST. D'VENCE Refreshing Ocean Drop Salicylic Acid Body Wash Shower Gel For Women & Men with Seaweed & Vegan Collagen | Paraben & Sls Free | Exfoliating Body Wash For Dry Skin - 300 ml,Up to 5% back with Amazon Pay ICICI card,449.0,149.0,4.3,630.0,False,,ustraa body wash
B0DM25RD3Y,ST. D'VENCE Refreshing Ocean Drop Salicylic Acid Body Wash Shower Gel For Women & Men with Seaweed & Vegan Collagen | Paraben & Sls Free | Exfoliating Body Wash For Dry Skin - 700 ml,Up to 5% back with Amazon Pay ICICI card,699.0,99.0,4.3,630.0,False,,dove men care body wash
B0CP5YCJQ3,SANTOOR,Moisturizing,85.0,34.0,4.3,597.0,False,,fiama men body wash
B0BQJCJYWB,Fiama,Moisturizing,129.0,51.0,4.3,595.0,False,,the man company body wash
B08GY89L6M,The Man Company,Up to 5% back with Amazon Pay ICICI card,1299.0,2792.0,3.9,579.0,False,,the man company body wash
B0BQJD4WL6,Fiama,Moisturizing,129.0,51.0,4.2,575.0,False,Limited time deal,fiama men body wash
B0CYHGY4S6,Mannlich,Acne Prevention,286.0,95.0,4.3,568.0,False,,beardo body wash
B0D6LWM8B6,Mannlich,Tan Removal,286.0,95.0,4.3,568.0,False,,nivea men body wash
B0BHTP2GVQ,AXE,Moisturizing,96.0,38.0,4.2,556.0,False,,beardo body wash
B0C2YJ9BTJ,Just Herbs,Brightening,280.0,93.0,4.3,549.0,False,,nivea men body wash
B0B1M86YD9,Fiama,Currently unavailable.,,,4.2,542.0,False,,nivea men body wash
B06Y613KXP,The Man Company,Exfoliating,499.0,199.0,3.8,513.0,False,,the man company body wash
B0C3ZZPXQ8,Biotique,Radiant Skin,164.0,82.0,4.2,503.0,False,,bombay shaving company body wash
B0C2ZKP4HZ,Ustraa,Up to 5% back with Amazon Pay ICICI card,253.0,101.0,4.3,468.0,False,Limited time deal,ustraa body wash
B00KZ24S5Q,Dove Men + Care Extra Fresh Cooling Agent Body & Face Wash (400ml),Hydrating,,,4.0,459.0,False,,dove men care body wash
B07CJZ915F,Fiama,Up to 5% back with Amazon Pay ICICI card,116.0,116.0,3.8,450.0,False,,fiama men body wash
B0D4DZZG9M,Neude,5% off coupon appliedSave 5%with coupon,240.0,96.0,4.4,444.0,False,Limited time deal,beardo body wash
B0D12S2B75,Palmolive,Up to 5% back with Amazon Pay ICICI card,253.0,33.0,4.4,442.0,False,Supersaver,dove men care body wash
B0BCZ3Q3V1,Chemist at Play,Nourishing,419.0,88.0,4.1,434.0,False,,bombay shaving company body wash
B07PR95YNY,Sairo,Up to 5% back with Amazon Pay ICICI card,599.0,79.0,4.1,429.0,False,,the man company body wash
B0DB7NGLXD,Bepanthen,Hydrating,319.0,319.0,4.7,422.0,False,,old spice body wash
B0DFBTR17S,Dove,Up to 5% back with Amazon Pay ICICI card,258.0,258.0,4.2,420.0,False,,dove men care body wash
B0C77FCYMT,BEARDO,Cleansing,399.0,399.0,4.2,417.0,False,,beardo body wash
B0BPGGSZ27,The Man Company,Hydrating,213.0,106.0,4.1,411.0,False,,the man company body wash
B0BT53PH19,Dermafique,Hydrating,375.0,75.0,4.3,400.0,False,,bombay shaving company body wash
